AER310H1S,Winter2022,Faculty of Applied Science and Engineering,,
ACTIVITY,TIME,LOCATION,INSTRUCTOR,DELIVERY METHOD
LEC0101,Thursday 9:00AM - 11:00AM,BA1240,"Groth  Clinton", In Person, 0
,Tuesday 12:00PM - 2:00PM,BA2135
,,,,
