APS113Y1,Winter2022,Faculty of Applied Science and Engineering,,
ACTIVITY,TIME,LOCATION,INSTRUCTOR,DELIVERY METHOD
LEC 0101,Monday 3:00PM - 4:00PM,Online,Jason Bazylak; Susan McCahan; Ted Nolan;Patricia Sheridan,Asynchronous
,,,,
TUT 0101,Thursday 4:00PM - 5:00PM,TBA,TBA,In Person
