Date,Time,Event Type,Event Name,Section Code,Description,
Monday,11:00-12:00,CourseSection,CSC236H1: Introduction to the Theory of Computation,Lec 0101,Lec 0101 of with D Heap by INPER session at ES 1050
Wednesday,11:00-12:00,CourseSection,CSC236H1: Introduction to the Theory of Computation,Lec 0101,Lec 0101 of with D Heap by INPER session at TBA
Friday,11:00-12:00,CourseSection,CSC236H1: Introduction to the Theory of Computation,Lec 0101,Lec 0101 of with D Heap by INPER session at ES 1050
