ROB301H1F,Fall2021,Faculty of Applied Science and Engineering,,
ACTIVITY,TIME,LOCATION,INSTRUCTOR,DELIVERY METHOD
LEC0101,Thursday 12:00AM - 2:00PM,,"D'Eleuterio  Gabriele", Online Synchronous, 0
,Tuesday 12:00AM - 2:00PM,
,,,,
PRA0101,Friday 9:00AM - 12:00AM,MY580, , In Person, 0
,,,,
PRA0102,Monday 5:00PM - 8:00PM,MY580, , In Person, 0
,,,,
