CHE441H1F,Fall2021,Faculty of Applied Science and Engineering,,
ACTIVITY,TIME,LOCATION,INSTRUCTOR,DELIVERY METHOD
LEC0101,Wednesday 9:00AM - 10:00AM,BA1240,"Newman  Roger Charles", In Person, 0
,Monday 9:00AM - 11:00AM,BA1240
,,,,
TUT0101,Monday 11:00AM - 12:00AM,HA410, , In Person, 0
,,,,
